CompanyName,CompanyNumber,sample_group,SICCode.SicText_1,RegAddress.PostTown,RegAddress.PostCode,guessed_website
BRMSTE LTD,15310393,professional_b2b,62012 - Business and domestic software development,BASINGSTOKE,RG22 4DQ,
HIGHTOWN CONSULTING LIMITED,10417674,professional_b2b,62020 - Information technology consultancy activities,LONDON,W5 5AW,
MARKELY SERVICES LIMITED,16602391,professional_b2b,62012 - Business and domestic software development,IPSWICH,IP1 1RJ,
IMMERSIVE INDUSTRY EXPERIENCES LIMITED,15549857,professional_b2b,62020 - Information technology consultancy activities,GUILDFORD,GU1 3UW,https://www.immersiveindustryexperiences.com
KK PRIME STOCK LTD,17229992,professional_b2b,74901 - Environmental consulting activities,MANSFIELD,NG18 2NQ,
BLAST47 LTD,14538681,professional_b2b,62012 - Business and domestic software development,BEVERLEY,HU17 0LF,https://www.blast47.co.uk
CASA TRE ARCHI LIMITED,08798876,professional_b2b,74990 - Non-trading company,COSSINGTON,LE7 4UZ,
HOLLIS AND HENLEY LTD,10992814,construction,41100 - Development of building projects,NOTTINGHAM,NG2 6FR,
LG RAIL MANAGEMENT & CONSULTANCY LTD,16616588,construction,43999 - Other specialised construction activities n.e.c.,GOSPORT,PO12 2LR,
PUNJAB ROOFING LIMITED,15750219,construction,41201 - Construction of commercial buildings,SOUTHALL,UB1 2BS,
BAUER RENEWABLES LIMITED,02198380,construction,41201 - Construction of commercial buildings,BISHOPS STORTFORD,CM23 3AR,
JABPD LIMITED,11222909,construction,41100 - Development of building projects,FAVERSHAM,ME13 8AF,
ACG PROPERTY SCOTLAND LTD,SC764199,construction,43999 - Other specialised construction activities n.e.c.,GLASGOW,G68 0LL,
PHANTOM CONSTRUCTION UK LIMITED,12890860,construction,43999 - Other specialised construction activities n.e.c.,COLNE,BB8 9DG,https://www.phantomconstruction.co.uk
RRK ELECTRICAL LTD,SC874403,construction,43210 - Electrical installation,INVERNESS,IV2 7PX,
P & E CONTRACTS LTD,NI658755,construction,43320 - Joinery installation,NEWRY,BT34 2DF,
LILYASH LIMITED,NI640303,construction,43910 - Roofing activities,BALLYMENA,BT42 4QE,https://www.lilyash.com
BY INDUSTRIAL SERVICES LTD,16802285,construction,43999 - Other specialised construction activities n.e.c.,HARTLEPOOL,TS25 3LG,
BAY 7 ENGINEERING LIMITED,14260948,construction,42990 - Construction of other civil engineering projects n.e.c.,MANCHESTER,M44 6AE,
D E C MASONRY LIMITED,10673091,construction,43999 - Other specialised construction activities n.e.c.,SELBY,YO8 6PS,
ELECTROZONE LTD,09034866,construction,43210 - Electrical installation,LOUGHTON,IG10 1TJ,https://www.electrozone.com
HAGUE HOLDINGS LTD,12482478,construction,41100 - Development of building projects,DEVIZES,SN10 5QF,
LANCASTER ENVIRONMENTAL LIMITED,13493404,construction,43120 - Site preparation,NEWCASTLE,NE1 1JF,https://www.lancasterenvironmental.co.uk
A.STONE BRICKWORK LTD,13790557,construction,41202 - Construction of domestic buildings,TUNBRIDGE WELLS,TN3 8EJ,
MONTGOMERY PROPERTY SERVICES LTD,15948400,construction,43390 - Other building completion and finishing,LLANDUDNO,LL30 1HE,
LANKIRK DEVELOPMENTS LTD,15545528,construction,41100 - Development of building projects,DURSLEY,GL11 5NU,
MARCO CONSTRUCT LTD,14644347,construction,41202 - Construction of domestic buildings,NOTTINGHAM,NG7 5ND,
JHD ELECTRICAL LTD,16371242,construction,43210 - Electrical installation,NEWENT,GL18 1HF,https://www.jhdelectrical.com
NWTF TRADING LIMITED,08912397,construction,41201 - Construction of commercial buildings,CHELMSFORD,CM1 3WT,
